495;Нож пистолетный с круглым фиксатором;22,5;
496;Ножницы по металлу 250мм с обрезин. ручками;108;
497;Ножницы для резки металла Н-30-1, 250мм;117;
498;Ножницы для резки металла Н-30-2, 290мм;127;
499;Ножницы для резки металла Н-30-3, 330мм;127;
500;"Ножовка по дереву ""СПАРТА"" 450мм линейкой";107;
501;Очки защитные затемненные;40;
502;Очки защитные прозр;39;
503;Пассатижи Ермак 160мм 661009;50,5;
504;Пассатижи Ермак 160мм с двухцветной ручкой 661227;90,5;
505;Пассатижи Ермак 180мм 661010;52,5;
506;Пассатижи Ермак 200мм 661011;68;
507;"Пассатижи ЕРМАК R-6"" /6* 661869";65;
508;"Пассатижи ЕРМАК R-7"" /6* 661870";67;
509;"Пассатижи ЕРМАК R-8"" /6* 661871";79;
510;Пассатижи Ермак комб. профи 160мм /6* 661203;93;
511;Пассатижи Ермак комб. профи 180мм /6* 661208;109;
512;Пассатижи Ермак комб. профи 200мм/6* 661209;129;
513;Пассатижи Ермак комб. шлиф. 160мм 661879;62;
514;Пассатижи Ермак комб. шлиф. 180мм 661880;70;
515;Пассатижи Ермак комб. шлиф. 200мм 661881;78;
516;Патрон для дрели метал. с ключом 13мм;97;
517;Патрон самозажимной 1,5-10мм;110;
518;Пила дисковая Ермак 150*32*24Т;106;
519;Пила дисковая Ермак 150*32*40Т;121;
520;Пила дисковая Ермак 200*32*24Т;136;
521;Пила дисковая Ермак 200*32*40Т;177;
522;Пила дисковая Ермак 250*32*40Т;275;
523;Пила дисковая Ермак 300*32*40Т;309;
524;Пила дисковая Ермак 300*32*60Т;413;
525;Пилки д/эл. лобзика набор;72;
526;Пилки д/эл. лобзика Т 144Д;54;
527;Пилки д/эл. лобзика Т119В;36,5;
528;Пилки д/эл. лобзика Т119ВО;36;
529;Пистолет д/выдавл.герметика 684020;48;
530;Пистолет д/герметика 6801;48;
531;Пистолет д/герметика усилен. 684014;137;
532;Пистолет д/герметика усилен. 684015 скелетн.;85;
533;Пистолет для монтажной пены 641200;278;
534;Пистолет д/пены FALCO;256;
535;Пистолет д/пены пластик;169;
536;Пистолет д/пены Стандарт 641065;328;
537;Плитка газовая;311;
538;Плиткорез 400мм;342;
539;Плиткорез-кусачки Ермак;75;
540;Плиткорез-кусачки с пластм. упором 200;67;
541;Полотно д/лобзика 125мм (20шт);46;
542;Полотно ножовочное;15;
543;Полотно ножовочное по металлу Россия;4,8;
544;Пылевыбивалка метал.;52;
545;Редуктор 2-1/2 Балтика;180;
546;Редуктор газовый Лягушка 1-1/2;133;
547;Резак для металлопл. 36см Ермак;151;
548;Резак для металлопл.труб.;94;
549;Рубанок 240х60мм одинарник деревянный;200;
550;Рубанок металл. Ермак 250мм А4;402;
551;Рубанок набор 2шт;256;
552;Рулетка 10м Ермак;158;
553;Рулетка 15м;202;
554;Рулетка 20м;270;
555;Рулетка 2м Jobi;22;
556;Рулетка 3м Jobi;29;
557;Рулетка 3м WSM;25;
558;Рулетка 5м;141;
559;Рулетка 5м Jobi /12*;42,5;
560;Рулетка 5м WSM;40;
561;Рулетка 7,5м WSM;52;
562;Рулетка Ермак 3м;42;
563;Рулетка Ермак 3м;36;
564;Рулетка Ермак 3м 658141;31;
565;Рулетка Ермак 3м обрезин. 658127;44,5;
566;Рулетка Ермак 3м черная;33;
567;Рулетка Ермак 3м.  658138;36,5;
568;Рулетка Ермак 5м;57;
569;Рулетка Ермак 5м 658128;71,5;
570;Рулетка Ермак 5м 658142;54,5;
571;Рулетка Ермак 5м автостоп;60;
